Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,9025,1990,27.4,24.3,17.7,15,11,9.6,10.1,12,16.4,20.2,26.5,30.1,18.4
IDCJAC0003,9025,1991,30.7,25,21,14.6,11.3,8.4,8.2,12.3,16,22.3,26.1,28.5,18.7
IDCJAC0003,9025,1992,27.6,23.3,19.6,15.6,10.7,8.1,9,10.8,15.1,21.9,22.9,30.8,17.9
IDCJAC0003,9025,1993,29.8,26.7,19.8,14.6,10.6,9.1,9.3,11,15.7,21.1,25.2,31.7,18.7
IDCJAC0003,9025,1994,31.2,24.9,20.9,16,11.8,8.8,9.9,15.6,16.5,21,26,30.5,19.4
IDCJAC0003,9025,1995,30,26.6,20.7,16.1,12.2,8.5,9.1,13.1,17.3,23.7,25.6,28.8,19.3
IDCJAC0003,9025,1996,31.2,27.8,21.5,15.2,11.5,8,8,12.5,16.1,24.2,26.8,30.7,19.5
IDCJAC0003,9025,1997,31.1,24.4,22.6,13.6,10.2,8.7,10.6,13.2,16.7,23.9,25,31.4,19.3
IDCJAC0003,9025,1998,30.7,27.9,21.7,15.2,11,8.7,9.3,12,16.9,23.6,26.5,29.2,19.4
IDCJAC0003,9025,1999,28.9,28.3,20.9,17.2,9.2,9.6,11.2,13.2,17.1,22.5,29.2,29,19.7
IDCJAC0003,9025,2000,24.7,28.2,21.5,15.2,12.8,9.2,9,12.2,17.1,24,26,31.8,19.3
IDCJAC0003,9025,2001,28.6,24.7,23.1,16.2,10.5,10.9,10.2,12.7,14.5,23,26.8,29.5,19.2
IDCJAC0003,9025,2002,29.7,27.7,22.1,14.5,11.4,8.9,9.5,13.4,17.8,21.9,28.7,29.8,19.6
IDCJAC0003,9025,2003,29.2,25.6,20.8,14.6,10.5,9.8,8.9,12.7,16.5,23.4,27.1,30.2,19.1
IDCJAC0003,9025,2004,30.2,25.4,22.9,14.9,11.5,8.1,10.7,12.2,17.8,21.6,25.3,29.6,19.2
IDCJAC0003,9025,2005,31.4,26.7,18.1,15.5,9.5,8,11.1,12.2,16.2,21.8,27.9,null,null
IDCJAC0003,9025,2006,26.9,25.2,21.9,15.6,11.8,10.7,10.3,12.4,18.2,23.4,24.3,30.2,19.2
IDCJAC0003,9025,2007,28.5,24.7,22,15.7,11.3,10,8.9,12.4,16.2,22.2,30.6,26.9,19.1
IDCJAC0003,9025,2008,29.5,25.1,20.8,14.9,11.5,9.8,9.1,15,16.8,20.9,26,30.4,19.1
IDCJAC0003,9025,2009,28.7,24.6,20.7,15.8,12.5,8.9,10,12.7,15.9,23,28.1,31.6,19.4
IDCJAC0003,9025,2010,31.5,25.8,20.6,15.2,12.2,9.9,10.3,13.6,19.4,24.9,27.2,27.5,19.8
IDCJAC0003,9025,2011,27.6,26,22.7,16.2,11.4,9,8.9,13.3,15.9,20.6,25.8,27.2,18.7
IDCJAC0003,9025,2012,28.5,24.9,24,15,11.9,8.1,11,13.6,17.9,21.8,25.5,28.4,19.2
IDCJAC0003,9025,2013,29.2,26.6,20.3,14,11.5,10.1,10.3,12.6,14.8,22.9,25.6,30,19
IDCJAC0003,9025,2014,30.1,27.1,19.9,15.3,9.5,9.7,9.7,12.5,16,21.5,23.8,30.6,18.8
IDCJAC0003,9025,2015,28.5,23.5,19.3,14.2,11.8,10.1,9.4,12.4,19,22.4,27.7,29.3,19
IDCJAC0003,9025,2016,23.7,26.4,19.1,13.1,11.5,10.2,10.8,11.9,16.5,22,27.9,29.2,18.5
IDCJAC0003,9025,2017,26.7,23.8,18.6,15.9,11.6,11.1,9.7,12.8,16.3,20.8,26.9,28.3,18.5
IDCJAC0003,9025,2018,27.4,24.2,19.5,15,12,9.7,10.3,12.8,17.6,19.9,26.3,28.1,18.6
IDCJAC0003,9025,2019,28.5,25.7,19.7,15.1,12.3,9.7,11.1,13.9,18.2,22.1,27.8,29.3,19.5
IDCJAC0003,9025,2020,28.1,22.4,18.7,14.7,11.4,9.8,11.4,13.2,16.5,23.3,23.6,30.2,18.6
IDCJAC0003,9025,2021,28,23,18.9,14.8,10.8,10.1,9.5,13,17.2,20.1,25.9,29.1,18.4
IDCJAC0003,9025,2022,29.4,26.1,18.3,15,11.8,10.4,null,null,null,null,null,null,null
