Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,9581,1990,23.2,21.7,14.8,11.8,8.9,7.8,8.8,11.1,15.1,16.7,25.2,23.7,15.7
IDCJAC0003,9581,1991,24,21.1,16.1,12.9,9.7,7.3,7.9,11.1,14.3,18.6,23.4,24.9,15.9
IDCJAC0003,9581,1992,27.2,20.8,16.5,12.8,8.8,8,8.3,10.3,13.1,17.6,19.4,27.2,15.8
IDCJAC0003,9581,1993,28.2,22.5,15.2,12.7,8.5,8.4,8.2,10.6,15.5,17.9,21.4,28.1,16.4
IDCJAC0003,9581,1994,27.4,20.4,18.8,14,9.4,8.3,9.8,14.2,14.6,17.9,23.3,29.3,17.3
IDCJAC0003,9581,1995,24.5,22.7,18.6,13.3,9.8,7.1,8.7,12.6,14.2,20.4,22.7,21.1,16.3
IDCJAC0003,9581,1996,26.6,22.8,16.9,13,10.1,8.1,8.6,11.8,14.9,19.9,25.9,25,17
IDCJAC0003,9581,1997,28.1,19.6,16.6,12.5,8.2,7.3,9.4,10.9,14.2,20.9,22.5,28,16.5
IDCJAC0003,9581,1998,29.6,26.8,18.9,10.9,8.8,7.1,8.4,10.4,15,19.6,23.3,26.2,17.1
IDCJAC0003,9581,1999,23.6,23.8,16.1,14.2,8,8,9.2,11.7,15,19.1,23.3,25.5,16.5
IDCJAC0003,9581,2000,23.3,23.2,18.9,13.2,9.9,8.6,8.7,11,15.1,20.6,24.7,29.1,17.2
IDCJAC0003,9581,2001,24.8,23.3,18.2,14.4,10.1,8,8.8,10.8,13.7,20.1,22.8,23.6,16.6
IDCJAC0003,9581,2002,27.1,21.8,18.6,12.1,10.2,7.3,8.6,10.9,16.8,18.8,25.8,25,16.9
IDCJAC0003,9581,2003,28.6,19.2,19,11.9,10.1,8.7,8.4,11.4,15.1,18.2,22.7,25.4,16.6
IDCJAC0003,9581,2004,22.6,22.8,18.2,13.1,9,7.4,8.5,10.6,16,20.4,23,29.5,16.8
IDCJAC0003,9581,2005,28.1,22,17.1,13.1,9.2,7.3,9.5,10.9,14,19,25.2,null,null
IDCJAC0003,9581,2006,22.2,24.9,19.8,10.9,9.7,8.5,8.7,12,16.3,20.4,23.9,28.5,17.1
IDCJAC0003,9581,2007,25.8,21,20.2,13,8.9,8.5,8.5,11.5,15.7,19.2,27.3,22.8,16.9
IDCJAC0003,9581,2008,24.8,21.2,17.2,12.8,9,8.4,7.7,12.4,14.8,16.7,19.9,28.5,16.1
IDCJAC0003,9581,2009,27.2,21.8,17.4,14,10.6,6.8,8.3,11.5,15.5,17.3,26,29.4,17.1
IDCJAC0003,9581,2010,27.3,22.9,15.6,12,9.8,8,8.8,10.8,15.6,21.2,23.9,23.2,16.6
IDCJAC0003,9581,2011,25.2,18.3,18.9,14.5,9.5,8,8,11.5,14.9,18.1,22.8,24.2,16.2
IDCJAC0003,9581,2012,23.8,19.8,18.2,12.7,9.5,7.3,8.6,11.6,15.4,20.2,23,25.5,16.3
IDCJAC0003,9581,2013,27.2,23.8,13.4,11.6,9.4,8.2,8.3,10.4,14.4,20.1,21,26.4,16.2
IDCJAC0003,9581,2014,27.2,22.9,16,12.4,7.8,7.9,8.6,10.9,14.9,18,21.7,24.7,16.1
IDCJAC0003,9581,2015,26.7,22.2,16.3,11.7,9.1,8.1,8.5,10.5,15.6,20.5,22.3,24.6,16.3
IDCJAC0003,9581,2016,19.7,22.2,14.4,11.4,10.4,8.6,9.7,11.3,14.4,18.7,24.1,23.9,15.7
IDCJAC0003,9581,2017,27.5,19.7,15.4,12.4,10,8.7,9.1,11.3,14.7,19.6,22.5,24.6,16.3
IDCJAC0003,9581,2018,23.7,20.1,16.7,12,10.5,8.3,9.4,11.6,15.5,18.2,21.1,25.6,16.1
IDCJAC0003,9581,2019,25.4,22.4,15.7,12.9,10.2,8.5,9.3,12.3,15.7,18.6,25.1,27.3,17
IDCJAC0003,9581,2020,23.9,21.6,16.4,12.6,10,8.9,9.8,11.9,15.8,20.2,20.6,25.1,16.4
IDCJAC0003,9581,2021,23.6,18.5,15.5,11.3,8.7,8.7,8.9,12,14.9,18.1,21.1,25.8,15.6
IDCJAC0003,9581,2022,24.6,21.7,14.7,12,10.4,8.3,null,null,null,null,null,null,null
