Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,10905,1990,25.7,22.6,14.7,12.7,9.6,8.5,9.5,11.7,16.4,18,27.6,24.5,16.8
IDCJAC0003,10905,1991,24.8,22.3,18,13.5,10.2,8.1,8.6,12.2,15.8,21.3,24.1,24.6,17
IDCJAC0003,10905,1992,26.4,20.1,14.4,12.5,10.1,8.2,8.9,10.7,13,19.6,19.8,27.6,15.9
IDCJAC0003,10905,1993,29,22.2,16.2,13.5,9,8.2,8.9,10.8,16.3,20.3,21.5,28.9,17.1
IDCJAC0003,10905,1994,28.4,22.3,18.4,14.7,10.1,9,9.7,14.6,16.3,18.6,23.6,28.7,17.9
IDCJAC0003,10905,1995,23.7,24.6,18.2,14.5,10.3,8.3,9.1,13.6,15.2,22,23.4,20.8,17
IDCJAC0003,10905,1996,27.9,22.4,18.1,13.7,9.7,9.4,9.4,13.4,17.8,22.6,26.1,24.7,17.9
IDCJAC0003,10905,1997,29.2,21.3,17.6,12.7,8.2,8.2,10,12.6,15.6,21.2,22.8,28.2,17.3
IDCJAC0003,10905,1998,29.1,26.1,19.4,11.5,9.1,9.1,9.2,10.4,16.2,21.9,24.9,26.6,17.8
IDCJAC0003,10905,1999,24.8,24.9,16.9,14.6,9.1,9.1,9.8,13,17.3,21.6,23.5,25.3,17.5
IDCJAC0003,10905,2000,24.3,24.2,18.7,14.9,10.5,8.9,9.3,11.8,16.5,22.1,24.8,28.3,17.9
IDCJAC0003,10905,2001,24.1,22.7,19.3,15.2,10.7,9.6,9.2,12.3,15.9,21,22.5,24.7,17.3
IDCJAC0003,10905,2002,25.8,22.4,20.2,12.3,11.4,8.1,9.7,12.8,17.5,19.8,26.5,25.6,17.7
IDCJAC0003,10905,2003,27.6,20.7,20.3,12.6,10.3,9,8.9,12,16,20.1,22.1,27.4,17.3
IDCJAC0003,10905,2004,22.5,22.2,18.5,13.6,9.5,8.7,9,11.7,16.6,22.3,24.2,29.7,17.4
IDCJAC0003,10905,2005,29.9,23.5,18,14.1,9.5,8.4,10.7,12,14.8,20.2,24.6,null,null
IDCJAC0003,10905,2006,21.7,25.7,20.8,11.8,10.2,9.5,9.4,13,16.3,22,25.1,28.8,17.9
IDCJAC0003,10905,2007,26.1,21.1,20,13.8,10.6,8.8,9.6,12.3,16.2,20.4,27.6,23.8,17.5
IDCJAC0003,10905,2008,25.5,23.3,16.8,13.3,10.2,9.3,8.3,12.5,15.5,18.5,20,27.9,16.8
IDCJAC0003,10905,2009,26.5,23.7,17.9,14.6,11.5,7.5,9,12.2,15.5,20.1,26.5,29.9,17.9
IDCJAC0003,10905,2010,28.7,23.6,16.2,13.7,10.1,8.5,9.6,11.7,16.7,22.6,24.3,24.3,17.5
IDCJAC0003,10905,2011,26.2,17.4,20,15.1,9.5,8.8,8.8,13.1,15.4,18,24.7,23.1,16.7
IDCJAC0003,10905,2012,24.7,21,19,13.7,10.2,8.6,9.4,12.7,16.8,20.7,22.6,27.4,17.2
IDCJAC0003,10905,2013,26.8,24.7,15,12.4,9.7,8.6,9.2,11.4,15.5,20.8,21.9,25.7,16.8
IDCJAC0003,10905,2014,27.8,22.1,18.8,13.6,8.7,8.7,8.9,11.4,16.3,20.2,22.8,26.4,17.1
IDCJAC0003,10905,2015,27.1,20.1,16.3,12.6,10.2,8.4,8.6,10.9,16.9,20.5,23.6,25.9,16.8
IDCJAC0003,10905,2016,20.8,24.1,15.4,11.9,11.1,9,10.2,11.6,15.5,20.5,24.3,25.4,16.6
IDCJAC0003,10905,2017,27.9,20,16.9,13.2,10.2,9.6,9.5,12.3,15.6,20.1,22.2,25.7,16.9
IDCJAC0003,10905,2018,24,20.2,17.1,12.9,10.9,9,10.2,12.6,16.8,17.8,22.2,26.3,16.7
IDCJAC0003,10905,2019,27.5,23.2,16.1,13.8,10.9,9.3,10.2,13.2,17.3,20.4,26,28.5,18
IDCJAC0003,10905,2020,25.7,19,17.5,13.6,11.1,9.6,10.4,12.6,16.9,19.8,22,26.5,17.1
IDCJAC0003,10905,2021,24.9,20.2,16.4,12.3,9.8,9,9.8,13,16,19.2,22.3,26.3,16.6
IDCJAC0003,10905,2022,25.9,23.4,14.8,12.4,10.6,8.4,null,null,null,null,null,null,null
