Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,9992,2003,null,null,null,null,10.4,132.6,108.2,100.2,107.4,27.8,19.8,2,null
IDCJAC0001,9992,2004,9.4,2.8,2.4,35.6,140,143.4,124,130,21.8,37.4,28.4,5.8,681
IDCJAC0001,9992,2005,0,4.4,18.6,46.2,132.6,160.8,79.2,103.6,95.6,60,35.4,11.2,747.6
IDCJAC0001,9992,2006,34.6,4.6,6.4,20.2,21,33.4,129.8,130,34.4,19.2,40.2,1,474.8
IDCJAC0001,9992,2007,16.4,11.6,13,64.4,48.4,94.6,177.8,115.4,118.4,41.4,4.2,23,728.6
IDCJAC0001,9992,2008,0,6.4,8.2,76,117.2,51,147,21,83,27.6,46.2,2.8,586.4
IDCJAC0001,9992,2009,0,16.4,2.2,0,62.6,231.2,141.2,84,104.4,11.4,42.4,0.2,696
IDCJAC0001,9992,2010,0,3.2,8.4,49.6,80.2,89.4,107,53.8,23,11.6,58.8,18.6,503.6
IDCJAC0001,9992,2011,65.4,4,0,62,45.4,138.2,143.2,94.4,80.6,23.8,37,20.8,714.8
IDCJAC0001,9992,2012,2.8,19.4,0,21.4,98.8,167.2,60,89.4,105.2,15.8,53.2,64.2,697.4
IDCJAC0001,9992,2013,1.8,0.6,25.2,29.6,216,57.8,121.6,154,175.6,27.2,21.2,1,831.6
IDCJAC0001,9992,2014,2,0,20.4,10,168.4,85.6,173.8,170.2,69.4,10.4,23.4,1.2,734.8
IDCJAC0001,9992,2015,0,2.4,19.2,67,111.8,69.2,203.2,98.2,62.8,15.4,3.8,3.2,656.2
IDCJAC0001,9992,2016,78.6,1.8,91.2,88.8,110,108,168.4,150,68.2,40.2,7.4,3.4,916
IDCJAC0001,9992,2017,1,27.4,52.8,0.6,73.2,58,181.4,143.8,56.4,51,2.6,34,682.2
IDCJAC0001,9992,2018,10.6,0,15,4.8,82.2,141,142.8,125.6,34.4,44.6,7.4,11.2,619.6
IDCJAC0001,9992,2019,6.2,0,27.6,28.2,26.8,188.4,81,93.2,27.2,49.4,9.6,2.2,539.8
IDCJAC0001,9992,2020,1.8,22,42.4,31,138.2,111.8,110.4,85.8,87.2,28.8,59.8,3,722.2
IDCJAC0001,9992,2021,0.4,63.4,27.6,90.6,172.8,58,148.4,64.8,52.6,80.2,3,4,765.8
IDCJAC0001,9992,2022,0,4.8,4.6,29.8,67.2,null,null,null,null,null,null,null,null
