Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,9105,1990,27.3,24.7,18.1,14.4,10.6,9.3,10.3,12.3,16.5,21.3,26.8,30.4,18.5
IDCJAC0003,9105,1991,30.9,25,21.5,14.9,11.2,8.3,8.9,12.6,16.5,22.5,26.6,29,19
IDCJAC0003,9105,1992,28,23.4,19.5,16,11.2,8.7,9.2,11.4,15,21.8,24.6,30.7,18.3
IDCJAC0003,9105,1993,29.1,25.9,19.5,14.4,11.2,9.5,10.1,11.3,16.3,21.5,25.3,31.6,18.8
IDCJAC0003,9105,1994,31.1,25.1,21,16.1,11.7,9.1,10.6,15.5,17.2,20.9,27.1,31.1,19.7
IDCJAC0003,9105,1995,30.2,26.5,20.5,16.3,12.4,8.7,9.4,13.4,18,24.5,26.5,29.3,19.6
IDCJAC0003,9105,1996,31.4,27.6,21.7,15.1,11.4,8.7,8.7,13.6,17.4,24.9,27.1,30.5,19.8
IDCJAC0003,9105,1997,31.3,24.3,22.6,13.9,10.8,9,10.9,14.1,17.7,23.7,25.2,31.6,19.6
IDCJAC0003,9105,1998,30.7,28.1,21.3,15.3,11,9,9.8,12,17.7,23.8,26.9,29.1,19.6
IDCJAC0003,9105,1999,29,28.8,20.4,16.3,9,9.6,11.2,13.6,17.4,23.2,29.7,29.3,19.8
IDCJAC0003,9105,2000,25.3,28.6,21.6,15.7,12.6,9.5,9.7,13.4,17.7,24.9,26.7,31.6,19.8
IDCJAC0003,9105,2001,28.5,24.8,22.9,16.2,10.8,11.2,10.4,13.2,14.4,24,28,29.7,19.5
IDCJAC0003,9105,2002,29.5,28,22.2,14.9,11.6,9.3,10,13.8,19,22.3,28.6,29.9,19.9
IDCJAC0003,9105,2003,29.3,25.5,20.9,15.3,10.9,10.1,9.2,12.9,16.9,23.8,27.3,30.4,19.4
IDCJAC0003,9105,2004,30.2,25.7,23.1,15.1,11.1,8.2,11.2,12.6,17.8,22.3,25.9,30,19.4
IDCJAC0003,9105,2005,31.2,26,17.7,15.5,10.2,8.1,11.3,12.1,16.9,22.5,28.7,null,null
IDCJAC0003,9105,2006,25.8,25.8,22.5,15.6,11.9,10.6,10.6,12.7,18.8,24.1,25.5,29.5,19.5
IDCJAC0003,9105,2007,28.6,25.2,22.6,15.9,11.5,10.3,9.4,12.9,17.3,23.3,30.5,27.4,19.6
IDCJAC0003,9105,2008,29.3,25.1,21.1,15.3,11.5,9.8,9.3,15.2,17,21.6,26.6,31,19.4
IDCJAC0003,9105,2009,29.5,25,21.1,16.1,12.5,8.8,10.3,12.7,16,23,27.5,31.4,19.5
IDCJAC0003,9105,2010,31.2,25.3,20.4,15.7,12.1,9.9,10.5,13.5,19.1,24.9,26.8,27.3,19.7
IDCJAC0003,9105,2011,27.5,26,23,16.7,11.6,9.1,8.9,13.7,16.1,20.8,26,27.2,18.9
IDCJAC0003,9105,2012,28.5,24.6,23.5,15.2,11.9,8.3,11.4,13.9,18.7,22.6,26,29,19.5
IDCJAC0003,9105,2013,28.9,26.5,20.7,13.6,11.4,10.2,10.1,13,15.2,22.9,25.7,29.8,19
IDCJAC0003,9105,2014,29.8,26.9,19.6,15.2,9.6,9.7,9.8,12.5,16.3,21.7,23.7,30.1,18.7
IDCJAC0003,9105,2015,28.2,22.9,19.9,14.3,11.9,10,9.5,12.7,19.2,22.5,27.7,28.8,19
IDCJAC0003,9105,2016,24,26.4,18.8,13.3,11.5,9.8,11,12.6,17.3,22.7,28.5,29.8,18.8
IDCJAC0003,9105,2017,26.9,23.7,19,16.4,11.9,11,9.7,13.2,16.7,22,27.3,28.7,18.9
IDCJAC0003,9105,2018,27.5,24.3,19.6,15.2,12.2,9.5,10.3,13.3,18.4,20.9,27,28.7,18.9
IDCJAC0003,9105,2019,28.6,25.9,19.7,15.2,12.3,9.7,11,14.5,18.9,22.6,28.2,29.7,19.7
IDCJAC0003,9105,2020,28.5,22.3,18.8,14.3,11.7,9.8,11.2,13.4,17.2,23.9,24.4,30.6,18.8
IDCJAC0003,9105,2021,28.2,23.4,18.7,14.9,11,10,9.9,13.1,18.1,21.2,26.8,29.6,18.7
IDCJAC0003,9105,2022,29.8,26.5,18.5,15,12,10.2,null,null,null,null,null,null,null
