Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,12280,1975,null,null,null,25.6,33.8,3,20.4,0,22,53.4,30.2,null,null
IDCJAC0001,12280,1976,0,6,30,6.6,1.6,3.8,0,4,9,39.5,0,17.8,118.3
IDCJAC0001,12280,1977,0,0,0,4,25.7,27,0,42,0,7.5,0,15.4,121.6
IDCJAC0001,12280,1978,11,25.6,0,0,0,10,31,5,0,18.4,38.4,37,176.4
IDCJAC0001,12280,1979,0,116.6,33,5,10.6,0,0,27.8,8,0,7,8.4,216.4
IDCJAC0001,12280,1980,9,129.8,3,83.2,9,41.7,45,0,13,0,1.8,8,343.5
IDCJAC0001,12280,1981,3.2,30,0,0,7.5,1.5,2.6,4.5,0,0,2,40.2,91.5
IDCJAC0001,12280,1982,15.4,69.8,0,0,71.2,21.4,3.6,15.4,35.4,12.2,19,7.6,271
IDCJAC0001,12280,1983,0,0,109.2,54,0,3.6,3.8,5.5,6.1,2.6,29,13,226.8
IDCJAC0001,12280,1984,0,0,14.7,3,51.9,0,70.2,26,0,0,0,12.8,178.6
IDCJAC0001,12280,1985,35,175.6,8,0,41,7,36.4,10,3,3,10.6,0,329.6
IDCJAC0001,12280,1986,6.6,23,0,0,0,114.2,24.6,0,15.4,5.2,4.4,5.2,198.6
IDCJAC0001,12280,1987,71,61.4,0,18.6,26.4,68.4,7,6.6,3,0,13.2,47.7,323.3
IDCJAC0001,12280,1988,5,25.2,0,0,30,7.8,23.2,13.9,0,0,8.5,54,167.6
IDCJAC0001,12280,1989,27.4,3,0,50,28.6,40.8,5,0,0,0,26.4,0,181.2
IDCJAC0001,12280,1990,78.4,5.2,0,0,11.8,10,10.2,34.7,0,12.8,4.6,8,175.7
IDCJAC0001,12280,1991,0,0,21.4,6.6,2.5,48.2,16.4,0,0,0,0.8,16.8,112.7
IDCJAC0001,12280,1992,28.4,21,71,127.6,14.4,16.4,null,null,null,null,null,null,null
IDCJAC0001,12280,1994,4.4,null,null,null,null,null,null,null,null,null,null,null,null
IDCJAC0001,12280,1998,0,0,0,18,9,34,37,14,0,null,9,56,null
IDCJAC0001,12280,1999,14,62,121,0,30,9,null,0,0,0,91,18,null
IDCJAC0001,12280,2000,91,151,84,0,0,0,0,0,0,0,0,0,326
IDCJAC0001,12280,2001,0,null,null,6,15.4,null,null,null,null,null,null,null,null
IDCJAC0001,12280,2002,null,null,null,null,null,null,null,null,null,null,31,42,null
IDCJAC0001,12280,2003,14,null,null,null,null,null,null,null,null,null,null,null,null
IDCJAC0001,12280,2004,null,77,null,null,null,null,null,0,14,0,0,14,null
IDCJAC0001,12280,2005,0,0,0,0,null,0,null,21,19,0,0,20,null
IDCJAC0001,12280,2006,137,41,28,30,0,0,0,0,null,42,8,null,null
IDCJAC0001,12280,2007,59,null,9,null,null,null,0,0,0,0,7,44,null
IDCJAC0001,12280,2008,0,4,0,0,0,null,0,0,0,0,0,20,null
IDCJAC0001,12280,2009,25,4,null,36,0,13,17,0,7,0,0,6,null
IDCJAC0001,12280,2010,0,0,0,44,null,4,12,3,37,0,0,26,null
IDCJAC0001,12280,2011,36,123,11,18,4,6,null,33,4,20,28,26,null
IDCJAC0001,12280,2012,35,null,33.6,0,14.5,12,0,0,0,0,38,5,null
IDCJAC0001,12280,2013,null,0,70,0,21,42,25.4,0,26,0,3,6.4,null
IDCJAC0001,12280,2014,54.4,118,3,40,20,0,10,0,0,36,12,null,null
IDCJAC0001,12280,2015,0,107.5,100,null,12.2,12.3,0,6,0,0,23,30,null
IDCJAC0001,12280,2016,38.5,74,133.5,6.2,0,30,33.7,16,0,0,0,18,349.9
IDCJAC0001,12280,2017,null,16,152,24.5,0,0,0,3,null,44,25,24,null
IDCJAC0001,12280,2018,57,38,0,13,0,25,0,6,4,33,43,4,223
IDCJAC0001,12280,2019,5,0,37,36,0,2,0,13,0,0,0,9,102
IDCJAC0001,12280,2020,54,67,0,6,0,0,0,0,0,0,0,26,153
IDCJAC0001,12280,2021,13,25,11,0,33,0,9,0,0,2,16,0,109
IDCJAC0001,12280,2022,14,7,9,0,null,null,null,null,null,null,null,null,null
