Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,9978,2002,null,null,null,null,111.4,116.2,149.6,137.6,68.8,66.6,20.4,0,null
IDCJAC0001,9978,2003,3.6,2.2,0.2,0.2,112.6,124.2,137,119.8,135.8,36.4,22.2,1.2,695.4
IDCJAC0001,9978,2004,0,9.6,10.8,28.2,144.6,157.8,135.8,151.8,44.4,33,38.2,3.8,758
IDCJAC0001,9978,2005,0.6,1,29.2,69,160.6,226.6,102.4,126,112.6,81.6,32,15.4,957
IDCJAC0001,9978,2006,46.6,1.2,18.8,22,25.2,69.4,103,158,48.4,31.6,34.6,4,562.8
IDCJAC0001,9978,2007,18.2,15,31.8,49.6,46,114.4,247.2,155.4,134.6,57,6.6,28,903.8
IDCJAC0001,9978,2008,0.4,2.6,11.6,101,153.2,114.2,191.6,26.6,63.4,43.6,58.6,12.2,779
IDCJAC0001,9978,2009,0.6,5.2,9.6,1.8,83.8,278.6,192.4,104.2,133.8,10,79,1,900
IDCJAC0001,9978,2010,1.6,1,4.4,8.6,76.4,64,131.4,88,34.6,13.4,25.6,10.6,459.6
IDCJAC0001,9978,2011,52,0,0.4,68,65,118.4,147.2,116.6,101.4,27.2,49.6,12.6,758.4
IDCJAC0001,9978,2012,1.4,14,0,45.8,84,200.8,73,87.6,151,37.6,59.6,26.2,781
IDCJAC0001,9978,2013,3.4,1.2,20.2,36.2,204,87.4,164.4,169.2,156.2,20.8,42.8,2.2,908
IDCJAC0001,9978,2014,2.2,0.4,23.2,8.8,135.2,105.8,151.2,115,78.2,16.6,null,0,null
IDCJAC0001,9978,2015,0,0,null,77.2,175,122.8,142.4,92.8,null,null,5.6,5.4,null
IDCJAC0001,9978,2016,0,2.4,32.8,43.4,147.8,127.4,204.2,182,82.4,47.8,5.4,22.2,897.8
IDCJAC0001,9978,2017,1.6,26.2,63.8,0.4,65.2,70.6,null,null,80.6,37.2,16.4,36.8,null
IDCJAC0001,9978,2018,25.6,1,14.8,8.6,112.6,145.4,160.8,164.6,29.4,37,8,15.2,723
IDCJAC0001,9978,2019,30,1.4,23.4,27.6,35.2,245.2,109,122.2,42.8,55,11.8,4.6,708.2
IDCJAC0001,9978,2020,1.4,11.8,43.6,38.2,141.8,104.4,142,76.8,94.2,36.2,92.6,1.8,784.8
IDCJAC0001,9978,2021,1.2,84,63.4,91.6,177,151.2,211.4,129.2,86.2,89,0.8,2.8,1087.8
IDCJAC0001,9978,2022,0.6,5.2,9.6,42,118.6,null,null,null,null,null,null,null,null
