Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,9661,1990,23.2,21,14.9,11.5,8.9,7.5,8.6,10.6,13.9,16.7,24.6,25,15.5
IDCJAC0003,9661,1991,24.4,21.8,16.3,12.9,9.4,6.7,7.7,10.8,14.2,19.3,23.4,26.4,16.1
IDCJAC0003,9661,1992,27.3,20.4,17,13,8.7,8.2,8.2,10,13.8,17.8,19.3,27.9,16
IDCJAC0003,9661,1993,27.5,24,15.4,12.6,8.7,8.2,8.4,10.1,15.2,17.6,21.8,28.6,16.5
IDCJAC0003,9661,1994,28,21.7,19.7,12.9,8.7,7.7,9.7,14.4,14.4,17.3,24,29.5,17.3
IDCJAC0003,9661,1995,24.1,23.2,19.3,13.5,10.1,6.8,7.9,12.2,14.2,20.1,22.5,21.7,16.3
IDCJAC0003,9661,1996,26.2,23.9,17.2,13,9.8,7.9,8,11.7,14.7,19.8,25.3,25.9,17
IDCJAC0003,9661,1997,28,20.1,16.9,12.8,8.8,7.3,9.6,11.6,14.5,21.1,21.9,28.9,16.8
IDCJAC0003,9661,1998,29.5,27.4,19.9,11.3,9.1,7.1,8,10.1,15.5,20.3,24,26.3,17.4
IDCJAC0003,9661,1999,24.6,24.6,16,14.7,7.8,7.6,8.6,11.6,14.9,19,23.5,26.4,16.6
IDCJAC0003,9661,2000,24.1,23.4,19.3,13.3,9.5,8.6,8.1,10.6,14.9,21.2,24.5,30,17.3
IDCJAC0003,9661,2001,24.8,23.5,19.1,14,9.7,8.1,8.6,10.3,13.7,20.3,22.9,24.1,16.6
IDCJAC0003,9661,2002,27.9,21.7,19.2,13.3,10,7.2,7.9,10.9,16,18.4,26,25.3,17
IDCJAC0003,9661,2003,28.4,21.1,18.9,12,10.3,8.2,7.7,11.1,14.6,18.1,23.8,25.5,16.6
IDCJAC0003,9661,2004,24.7,22.4,19.2,12.8,9.3,7,8.3,10.6,16.1,19.8,22.4,29.3,16.8
IDCJAC0003,9661,2005,29,22.8,16.7,13.1,8.7,7.1,9.5,10.9,14.1,18.7,25.3,null,null
IDCJAC0003,9661,2006,23.2,25.3,20.4,11.4,9.6,8.5,8.4,11.7,15.4,21.5,23.7,29,17.3
IDCJAC0003,9661,2007,26.1,21.6,20,12.8,8.7,8.4,8.1,11.2,15.5,19.9,26.9,23.3,16.9
IDCJAC0003,9661,2008,25.7,21.5,17.8,12.9,8.8,8.6,7.5,12.7,15,17.5,20.7,27.6,16.4
IDCJAC0003,9661,2009,27.5,21.6,17.2,14.3,10.6,6.7,8.7,11.4,15,17.7,25.9,28.3,17.1
IDCJAC0003,9661,2010,28.2,22.5,15.9,12.3,9.5,8.1,8.7,10.7,15.9,21.8,24.2,24.6,16.9
IDCJAC0003,9661,2011,25.8,20.5,19.3,14.4,9.3,7.7,8,11.3,14.7,18,22.9,24.2,16.3
IDCJAC0003,9661,2012,25.3,20.4,19,12.7,9.5,7.4,8.9,11.3,15.3,20.2,22.6,25.4,16.5
IDCJAC0003,9661,2013,27,24.4,13.8,11.5,9.6,8,8.5,9.8,13.7,20.1,21.1,26.7,16.2
IDCJAC0003,9661,2014,27.5,23.6,15.9,12.4,7.7,7.7,8.2,11.2,14.3,17.9,21.7,25.2,16.1
IDCJAC0003,9661,2015,27.5,22.7,16.4,11.2,9,8.1,8.1,10.5,15.8,20.4,22.3,24.8,16.4
IDCJAC0003,9661,2016,20.5,22.1,14.7,11.3,9.7,8.1,9.5,11.3,14.3,18.5,24.3,24,15.7
IDCJAC0003,9661,2017,28.1,19.8,15.7,12.3,9.6,8.6,8.8,11,14.9,19.6,22.3,25.4,16.3
IDCJAC0003,9661,2018,24.3,20.2,16.4,12.1,10.4,8.2,9.1,11.4,15.5,18.7,21.3,25.6,16.1
IDCJAC0003,9661,2019,25.5,23.1,15.9,12.9,9.9,8.4,9.2,12.2,15.5,18.3,25.3,28.1,17
IDCJAC0003,9661,2020,24.9,21.1,16.3,12.3,9.8,8.7,9.5,11.8,15.6,20.4,20.8,26.3,16.5
IDCJAC0003,9661,2021,24.9,19.3,15.6,11.4,8.9,8.6,8.7,11.8,15.3,18,21.2,25.8,15.8
IDCJAC0003,9661,2022,25,22,14.9,12,10.2,8.2,null,null,null,null,null,null,null
