Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,9992,1990,26.8,22.8,17.6,12.3,9.7,8,8.9,12.1,16.1,18.6,24.5,28.2,17.1
IDCJAC0003,9992,1991,29.7,24.5,19.4,13.5,10.1,7.2,8.5,12.1,15,21.2,24,28.7,17.8
IDCJAC0003,9992,1992,28.1,22.7,19.2,14.3,10,7.9,8.4,10.2,16.4,20.8,23.2,28.9,17.5
IDCJAC0003,9992,1993,29.5,27.6,18.3,13.5,9.9,8.7,8.5,10,15.2,18.6,26.2,31.6,18.1
IDCJAC0003,9992,1994,29.8,25,19.8,13.9,9.3,7.9,9.9,14.8,16.2,18.9,25.5,30.8,18.5
IDCJAC0003,9992,1995,29.7,26.6,21.3,15,11.3,8,8.7,11.9,15.8,22.5,26.1,26.2,18.6
IDCJAC0003,9992,1996,30.5,27.6,20.2,13.9,11.1,8,7.9,12.5,15,21.7,27,30.4,18.8
IDCJAC0003,9992,1997,30.9,23.4,20.2,14.5,10.2,8.3,9.4,12.4,15.3,22.4,25.9,30.4,18.6
IDCJAC0003,9992,1998,30,28.6,19.8,13.6,10.7,7.4,8.4,11.1,15.1,22.9,27.1,29,18.6
IDCJAC0003,9992,1999,30.6,27.7,18.9,15.2,8.2,8.1,10,13.2,13.6,19.9,28,28.2,18.5
IDCJAC0003,9992,2000,26.4,27.5,21.4,14.4,10.5,8.7,8.8,12.2,15.7,23.5,27.4,31.2,19
IDCJAC0003,9992,2001,29.5,24.6,20.3,14.7,10.4,9.2,9.5,10.5,14.5,22.1,28.2,29.1,18.5
IDCJAC0003,9992,2002,29.7,26.7,21.2,14.4,10.8,7.8,8.8,11.8,17.6,19.2,28.8,29.5,18.9
IDCJAC0003,9992,2003,30.2,24.8,20.3,13.5,11.2,8.9,8.4,12.5,15.4,21,27.3,30,18.6
IDCJAC0003,9992,2004,29.4,24.6,21.6,14.2,10.3,7.4,9,11.7,17.2,20.7,23.1,29.8,18.2
IDCJAC0003,9992,2005,30.5,24.8,18.6,14.5,9.7,8.1,10,12.3,15.3,19.5,26.7,null,null
IDCJAC0003,9992,2006,26,26.7,21.9,13.8,10.6,8.8,9,11.7,16.6,23.9,24.6,30.9,18.7
IDCJAC0003,9992,2007,27,24.7,21.6,14.5,9,9,7.8,11.1,15.5,22.1,30.7,25.8,18.2
IDCJAC0003,9992,2008,28.2,24,20.6,14.5,10,8.7,8.5,13.9,16.8,19.7,25.3,30.1,18.4
IDCJAC0003,9992,2009,29.6,25.1,19.1,15.6,11.3,7.6,9.2,12.1,15.8,21,25.9,30.8,18.6
IDCJAC0003,9992,2010,30.4,24.8,19.6,14.5,10.1,8.4,9,12.1,17.5,23.3,25.9,27,18.5
IDCJAC0003,9992,2011,26.9,26.9,21.1,14.8,10.1,7.7,8.2,12,15.8,20.4,24.8,26.5,17.9
IDCJAC0003,9992,2012,29.2,23.5,22.6,14,10.5,8.1,9.1,12.3,16.4,22.2,24.4,28.4,18.4
IDCJAC0003,9992,2013,28.9,25.7,18.1,13.6,9.6,7.9,8.6,10.1,14.3,21.3,24.7,29,17.6
IDCJAC0003,9992,2014,29.7,26.9,19,14.2,8.8,8.4,8.6,11.6,15.1,20.2,23.1,29.2,17.9
IDCJAC0003,9992,2015,29.5,23.2,19.5,13.2,10.6,8.4,9,11.5,16.9,21.4,26.5,28.5,18.2
IDCJAC0003,9992,2016,23.9,25.5,18.5,12.7,10.6,8.7,9.3,11.9,15.5,20.1,26.2,27.5,17.5
IDCJAC0003,9992,2017,28.3,22.9,18.6,15,10.4,9.7,9,12,16.2,20.2,26.1,27.2,18
IDCJAC0003,9992,2018,26.8,23.8,18.5,14.1,11.3,8.9,9.6,11.9,16.2,20.8,23.6,27.2,17.7
IDCJAC0003,9992,2019,28,25.4,18.5,14.8,11.4,8.7,9.9,13.2,16.7,20.2,27.3,28.3,18.5
IDCJAC0003,9992,2020,27.8,22.7,18,13.7,10.6,8.9,10.3,12.9,15.8,22.1,22.8,29.1,17.9
IDCJAC0003,9992,2021,28,23.9,17.6,12.9,9.4,9.3,9.2,12.4,16.9,19.6,24.7,27.7,17.6
IDCJAC0003,9992,2022,28.8,24.4,18.2,14.2,10.9,9,null,null,null,null,null,null,null
