Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,9519,1990,27.8,24.3,18.4,12.1,9.3,7.7,8.7,11.7,16.1,19.3,26,28.5,17.5
IDCJAC0003,9519,1991,29.7,24.7,20.6,14.2,9.3,6.7,9,11.7,14.8,20.8,24.5,29.2,17.9
IDCJAC0003,9519,1992,29.3,24,19.8,14.7,9.9,7.7,8.2,10.9,17.3,21.5,22.9,29.1,17.9
IDCJAC0003,9519,1993,28.4,27.7,19.4,13.2,10,8.3,8.5,10.1,15.5,18.8,26.4,32.2,18.2
IDCJAC0003,9519,1994,28.5,24.9,19.4,13.2,9.4,7.5,9.6,14.8,17.3,20.7,26.5,31.5,18.6
IDCJAC0003,9519,1995,30.7,26.7,22.1,14.9,10.8,7.3,8.1,12.1,16.4,24,25.8,27.2,18.8
IDCJAC0003,9519,1996,31.1,28.4,20.9,14.2,11.2,7.9,8.7,12.9,15.8,22.9,28.3,29.1,19.3
IDCJAC0003,9519,1997,31.5,26.2,21.9,14.8,10.3,8.4,9.6,12.9,16.5,22.6,27.1,30.4,19.4
IDCJAC0003,9519,1998,30.5,29.5,21.7,15,10.8,7.6,8.6,11.4,17.1,23.6,27.5,29,19.4
IDCJAC0003,9519,1999,31.3,29.5,20.5,16.6,8.9,7.6,9,13.5,16.1,21.3,29.9,29.9,19.5
IDCJAC0003,9519,2000,27.2,27.7,22.5,15.7,10.6,8.1,8.2,11.9,15.5,23.7,27.9,30.8,19.1
IDCJAC0003,9519,2001,29.2,26.5,23,14.5,10.2,9.2,9.2,10.7,13.8,21.2,26.8,29.2,18.6
IDCJAC0003,9519,2002,30.4,28.4,21.7,13.4,11,7.6,8.6,13,17.7,20.3,28.4,29.5,19.2
IDCJAC0003,9519,2003,30.4,25.4,20.7,14.1,10.9,8.4,8.1,11.5,15.8,21.6,27.5,29.7,18.7
IDCJAC0003,9519,2004,30.2,25.3,22.2,14.2,9.8,7.2,8.7,12.2,17.6,21.2,23.9,29.6,18.5
IDCJAC0003,9519,2005,30.9,25.3,19,14.2,10.1,7.1,9.4,11.8,14.7,20.3,26.9,null,null
IDCJAC0003,9519,2006,28,28.3,22.6,14.6,10.4,8.4,9.2,12,18,24.9,25.4,31.1,19.4
IDCJAC0003,9519,2007,27.3,24.4,22,14,8.5,9.1,7.7,10.6,15.1,22.7,30.4,26,18.1
IDCJAC0003,9519,2008,28.2,23.6,20.3,14.2,9.7,8.5,8.6,14.4,16.7,20.3,26.7,30.4,18.5
IDCJAC0003,9519,2009,30.6,26.4,20.4,16,11.1,7.4,9.4,12.3,15.8,21.7,26.1,31.3,19
IDCJAC0003,9519,2010,31.7,26.3,20.6,15.4,10.4,8.5,9,12.4,17.4,24.4,26.3,28.9,19.3
IDCJAC0003,9519,2011,27.5,27.5,22,15.3,10.4,8.1,8.6,12.4,16.2,21.2,26,27.4,18.5
IDCJAC0003,9519,2012,29.2,24,23.2,13.6,10.4,7.6,9.3,12.2,16.8,23.5,26.4,28.3,18.7
IDCJAC0003,9519,2013,28.8,26.3,18.6,13.7,9.5,7.6,8,10.7,14.9,21.9,26.6,29.4,18
IDCJAC0003,9519,2014,30.2,27.6,19.3,13.9,9,7.7,8.8,11.6,14.9,19.8,22.9,30,18
IDCJAC0003,9519,2015,30.3,23.8,19.6,13.4,10.3,8.1,9,11.8,16.8,21.6,26.9,29.1,18.4
IDCJAC0003,9519,2016,24.8,25.7,19,13,10.1,8.4,9.1,11.6,15.2,20.9,26.5,27.1,17.6
IDCJAC0003,9519,2017,28.6,22.7,18,15,9.9,9.1,8.7,12.1,16.2,20.5,26.4,27.6,17.9
IDCJAC0003,9519,2018,27.6,24.2,17.8,13.8,10.9,8.4,9.1,11.4,15.9,20.1,24.4,27.6,17.6
IDCJAC0003,9519,2019,27.9,25.8,18.3,14.2,11,8.3,9.4,12.8,15.9,20.8,27.8,29.4,18.5
IDCJAC0003,9519,2020,29.2,21.9,17.6,13,10,8.6,9.7,12.2,15.6,22.1,22.8,29.6,17.7
IDCJAC0003,9519,2021,29.2,23.9,17.4,12.8,8.7,8.8,9,12.4,16.6,20,25.3,28.1,17.7
IDCJAC0003,9519,2022,29,24.6,18.7,13.5,10.2,8.5,null,null,null,null,null,null,null
